t1::A2::der aktienindex::original | t1 | A2 | der Aktienindex | original | Der DAX ist der wichtigste Aktienindex in Deutschland.
t1::A2::der aktienindex::generated | t1 | A2 | der Aktienindex | generated | Ein Aktienindex hilft vielen Menschen, die Entwicklung des Marktes schnell zu verstehen.
t1::A2::die börse::original | t1 | A2 | die Börse | original | Er zeigt, wie gut die 40 größten deutschen Unternehmen an der Börse stehen.
t1::A2::die börse::generated | t1 | A2 | die Börse | generated | Viele Menschen verfolgen jeden Tag die Nachrichten von der Börse.
t1::A2::steigen::original | t1 | A2 | steigen | original | Wenn der DAX steigt, bedeutet das: Die Unternehmen haben viel Geld verdient.
t1::A2::steigen::generated | t1 | A2 | steigen | generated | Die Aktien können schnell steigen, wenn die Stimmung gut ist.
t1::A2::verdienen::original | t1 | A2 | verdienen | original | Die Unternehmen haben viel Geld verdient.
t1::A2::verdienen::generated | t1 | A2 | verdienen | generated | Gute Firmen verdienen oft auch in schwierigen Zeiten Geld.
t1::A2::der investor::original | t1 | A2 | der Investor | original | Viele Investoren kaufen Aktien.
t1::A2::der investor::generated | t1 | A2 | der Investor | generated | Ein Investor versucht, sein Geld sinnvoll anzulegen.
t1::A2::die aktie::original | t1 | A2 | die Aktie | original | Viele Investoren kaufen Aktien.
t1::A2::die aktie::generated | t1 | A2 | die Aktie | generated | Eine Aktie kann im Preis steigen oder fallen.
t1::A2::die wirtschaft::original | t1 | A2 | die Wirtschaft | original | Das ist ein gutes Zeichen für die Wirtschaft.
t1::A2::die wirtschaft::generated | t1 | A2 | die Wirtschaft | generated | Eine starke Wirtschaft schafft oft neue Arbeitsplätze.
t1::A2::hoch::original | t1 | A2 | hoch | original | Die Preise für Lebensmittel und Wohnungen sind immer noch hoch.
t1::A2::hoch::generated | t1 | A2 | hoch | generated | Die Nachfrage ist hoch, deshalb werden viele Produkte teurer.
t1::A2::der widerspruch::original | t1 | A2 | der Widerspruch | original | Das ist ein Widerspruch.
t1::A2::der widerspruch::generated | t1 | A2 | der Widerspruch | generated | Es wirkt wie ein Widerspruch, wenn die Börse steigt, aber viele Menschen sparen müssen.
t1::B1::das allzeithoch::original | t1 | B1 | das Allzeithoch | original | Der deutsche Aktienindex DAX hat in der zweiten Aprilwoche 2026 ein neues Allzeithoch erreicht.
