t1::A2::german::original | t1 | A2 | german | original | example_sentence_de
t1::A2::german::generated | t1 | A2 | german | generated | example_sentence_de_generated
t1::A2::der dax::original | t1 | A2 | der DAX | original | Der DAX ist der wichtigste Aktienindex in Deutschland.
t1::A2::der aktienindex::original | t1 | A2 | der Aktienindex | original | Der DAX ist der wichtigste Aktienindex in Deutschland.
t1::A2::zeigen::original | t1 | A2 | zeigen | original | Er zeigt, wie gut die 40 größten deutschen Unternehmen an der Börse stehen.
t1::A2::das unternehmen::original | t1 | A2 | das Unternehmen | original | Er zeigt, wie gut die 40 größten deutschen Unternehmen an der Börse stehen.
t1::A2::die börse::original | t1 | A2 | die Börse | original | Er zeigt, wie gut die 40 größten deutschen Unternehmen an der Börse stehen.
t1::A2::steigen::original | t1 | A2 | steigen | original | Wenn der DAX steigt, bedeutet das: Die Unternehmen haben viel Geld verdient.
t1::A2::verdienen::original | t1 | A2 | verdienen | original | Wenn der DAX steigt, bedeutet das: Die Unternehmen haben viel Geld verdient.
t1::A2::der investor::original | t1 | A2 | der Investor | original | Viele Investoren kaufen Aktien.
t1::A2::die aktie::original | t1 | A2 | die Aktie | original | Viele Investoren kaufen Aktien.
t1::A2::das zeichen::original | t1 | A2 | das Zeichen | original | Das ist ein gutes Zeichen für die Wirtschaft.
t1::A2::die wirtschaft::original | t1 | A2 | die Wirtschaft | original | Das ist ein gutes Zeichen für die Wirtschaft.
t1::A2::der preis::original | t1 | A2 | der Preis | original | Die Preise für Lebensmittel und Wohnungen sind immer noch hoch.
t1::A2::die lebensmittel::original | t1 | A2 | die Lebensmittel | original | Die Preise für Lebensmittel und Wohnungen sind immer noch hoch.
t1::A2::die wohnung::original | t1 | A2 | die Wohnung | original | Die Preise für Lebensmittel und Wohnungen sind immer noch hoch.
t1::A2::der widerspruch::original | t1 | A2 | der Widerspruch | original | Das ist ein Widerspruch.
t1::B1::german::original | t1 | B1 | german | original | example_sentence_de
t1::B1::german::generated | t1 | B1 | german | generated | example_sentence_de_generated
t1::B1::das allzeithoch::original | t1 | B1 | das Allzeithoch | original | Der deutsche Aktienindex DAX hat in der zweiten Aprilwoche 2026 ein neues Allzeithoch erreicht.
t1::B1::klettern::original | t1 | B1 | klettern | original | Der Index der 40 größten deutschen Börsenunternehmen kletterte auf über 23.500 Punkte.
t1::B1::der rekord::original | t1 | B1 | der Rekord | original | Das ist ein Rekord, der viele Anleger überrascht hat – denn die wirtschaftliche Lage Deutschlands gilt weiterhin als schwierig.
t1::B1::der anleger::original | t1 | B1 | der Anleger | original | Das ist ein Rekord, der viele Anleger überrascht hat – denn die wirtschaftliche Lage Deutschlands gilt weiterhin als schwierig.
t1::B1::die lage::original | t1 | B1 | die Lage | original | Das ist ein Rekord, der viele Anleger überrascht hat – denn die wirtschaftliche Lage Deutschlands gilt weiterhin als schwierig.
t1::B1::der haupttreiber::original | t1 | B1 | der Haupttreiber | original | Als Haupttreiber gelten starke Quartalsergebnisse mehrerer DAX-Konzerne, insbesondere SAP, Siemens und Allianz.
